시설번호,년도,지역코드,시설유형,쉼터명칭,도로명주소,지번상세주소,면적,이용가능인원,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,사용여부,운영시작일,운영종료일,경도,위도,X좌표,Y좌표
1147000608,2022,1147068000,12,호돌이어린이공원,서울특별시 양천구 목동동로 50,326-0,0,0,,,,,,Y,,,126.861356,37.512587,187742.3535,545910.1207
1147000590,2022,1147053000,11,목3동소공원,,324-10,0,0,,,,,,Y,,,126.864819,37.54424,188053.6396,549422.8449
1147000591,2022,1147054000,12,산장어린이공원,,904-5,0,0,,,,,,Y,,,126.868768,37.532628,188400.7829,548133.5043
1147000592,2022,1147055000,12,파리공원,서울특별시 양천구 목동동로 363,906-0,0,0,,,,,,Y,,,126.87705,37.534727,189133.0822,548365.4451
11545007,2022,1154551000,1,두산C지역경로당,서울특별시 금천구 가산동 가산로 99 (가산동),769 두산위브아파트,110,30,4,2,N,N,N,Y,20220520,20220930,126.891757,37.476221,190425.5111,541870.464
11545008,2022,1154551000,1,가산삼익경로당,서울특별시 금천구 가산동 두산로9길 56 (가산동),234-46 삼익아파트,59,30,3,2,N,N,N,Y,20220520,20220930,126.892763,37.472677,190514.0828,541477.0478
11545006,2022,1154551000,1,우창경로당,서울특별시 금천구 서부샛길 572,547-44,32,15,2,1,N,N,N,Y,20220520,20220930,126.876509,37.479844,189077.2902,542274.2172
1147000593,2022,1147056000,12,신대어린이공원,,100-1,0,0,,,,,,Y,,,126.832759,37.534808,185218.4758,548380.5636
1147000594,2022,1147056000,12,마을마당,서울특별시 양천구 곰달래로3길 13,129-6,0,0,,,,,,Y,,,126.833198,37.530653,185256.4674,547919.2627
1147000596,2022,1147058000,12,경인어린이공원,,196,0,0,,,,,,Y,,,126.828835,37.532138,184871.0979,548084.7503
1147000597,2022,1147059000,12,남도어린이공원,,426-4,0,0,,,,,,Y,,,126.840828,37.524412,185929.7328,547225.4977
1147000598,2022,1147060000,12,방아다리어린이공원,,Jan.56,0,0,,,,,,Y,,,126.828455,37.538704,184838.8843,548813.6352
1147000600,2022,1147061100,12,오솔길공원,,977,0,0,,,,,,Y,,,126.836587,37.5211,185554.1948,546858.5052
1147000601,2022,1147062000,12,양명어린이공원,서울특별시 양천구 중앙로36길 6,1050-3,0,0,,,,,,Y,,,126.85449,37.51928,187136.5191,546653.9538
11200171,2022,1120064500,1,옥수파크 경로당,서울특별시 성동구 매봉길 17,562-0,178,29,4,4,N,N,N,Y,20220520,20220930,127.014572,37.546646,201287.7601,549681.3827
11200157,2022,1120063000,1,극동그린(아)경로당,서울특별시 성동구 독서당로 175,436-0,149,20,3,2,N,N,N,Y,20220520,20220930,127.010355,37.54209,200915.1313,549175.6392
11200158,2022,1120063000,1,한남하이츠(아)경로당,서울특별시 성동구 독서당로 156,220-1,66,18,2,1,N,N,N,Y,20220520,20220930,127.014087,37.539734,201244.9889,548914.1948
11200159,2022,1120063000,1,현대(아)경로당,서울특별시 성동구 독서당로40길 25,4-0,76,21,1,1,N,N,N,Y,20220520,20220930,127.018854,37.54359,201666.2037,549342.2488
11590073,2022,1159058000,5,흑석동주민센터,서울특별시 동작구 흑석한강로 11 (흑석동),335-2,737,80,4,6,Y,Y,N,Y,20220520,20220930,126.966591,37.505783,197045.9956,545146.5016
11590091,2022,1159062000,5,사당1동주민센터,서울특별시 동작구 동작대로17길 28  사당1동 주민센터 (사당동),1004-52 사당1동 주민센터,472,118,1,1,Y,Y,N,Y,20220520,20220930,126.978693,37.483153,198115.4958,542634.5007
11590096,2022,1159063000,5,사당2동주민센터,서울특별시 동작구 동작대로29길 52  사당2동 주민센터 (사당동),105-12 사당2동 주민센터,867,80,6,5,Y,Y,N,Y,20220520,20220930,126.979246,37.488753,198164.4989,543256.0046
11590155,2022,1159067000,5,신대방1동주민센터,서울특별시 동작구 신대방길 72 (신대방동),604-8,749,60,4,1,Y,Y,N,Y,20220520,20220930,126.910039,37.488945,192044.0029,543281.0018
11200160,2022,1120063000,1,옥수실버문화센터경로당,서울특별시 성동구 한림말길 49,385-4,139,42,4,2,N,N,N,Y,20220520,20220930,127.016575,37.54152,201464.8398,549112.4549
11200161,2022,1120063000,1,옥수풍림(아) 경로당,서울특별시 성동구 뚝섬로 51,60-0,46,13,2,2,N,N,N,Y,20220520,20220930,127.019374,37.542102,201712.1922,549177.0971
